Week,Day,Slot,Grade Level,CoachId
1,Monday,4-5,1,1
1,Monday,5-6,2,2
1,Monday,6-7,3,3
1,Wednesday,4-5,4,4
1,Wednesday,5-6,5,5
1,Wednesday,6-7,1,6
1,Friday,4-5,2,7
1,Friday,5-6,3,8
1,Friday,6-7,4,9
1,Saturday,2-3,5,10
1,Saturday,3-4,1,2
2,Monday,4-5,1,3
2,Monday,5-6,2,4
2,Monday,6-7,3,1
2,Wednesday,4-5,4,7
2,Wednesday,5-6,5,10
2,Wednesday,6-7,1,2
2,Friday,4-5,2,8
2,Friday,5-6,3,5
2,Friday,6-7,4,9
2,Saturday,2-3,5,2
2,Saturday,3-4,1,1
3,Monday,4-5,1,5
3,Monday,5-6,2,9
3,Monday,6-7,3,5
3,Wednesday,4-5,4,7
3,Wednesday,5-6,5,8
3,Wednesday,6-7,1,9
3,Friday,4-5,2,3
3,Friday,5-6,3,4
3,Friday,6-7,4,1
3,Saturday,2-3,5,8
3,Saturday,3-4,1,10
4,Monday,4-5,1,3
4,Monday,5-6,2,9
4,Monday,6-7,3,2
4,Wednesday,4-5,4,6
4,Wednesday,5-6,5,9
4,Wednesday,6-7,1,2
4,Friday,4-5,2,6
4,Friday,5-6,3,1
4,Friday,6-7,4,10
4,Saturday,2-3,5,6
4,Saturday,3-4,1,3
5,Monday,4-5,1,8
5,Monday,5-6,2,4
5,Monday,6-7,3,2
5,Wednesday,4-5,4,3
5,Wednesday,5-6,5,8
5,Wednesday,6-7,1,6
5,Friday,4-5,2,1
5,Friday,5-6,3,9
5,Friday,6-7,4,10
5,Saturday,2-3,5,7
5,Saturday,3-4,1,9
